HouseID,PersonID,Age,Education,Gender,OnlineOrders,PhysicalActivity,DistanceToWork,TimeToWork,Area,Urban,AnnualMiles,HybridDriver
30028729,1,40,Some College,Male,0,Light,23.84,40,IE,Suburban,20000,No
30028771,1,40,Some College,Male,2,Light,45.56,40,IE,Urban,25000,No
30028796,1,46,Graduate or Professional Degree,Female,15,Vigorous,6.45,20,LAOC,Urban,8500,No
30028897,2,54,Bachelor Degree,Female,10,Vigorous,3.55,5,LAOC,Urban,10000,No
30030923,4,25,Bachelor Degree,Male,5,None,10.1,10,LAOC,Suburban,10000,No
30031344,1,31,Bachelor Degree,Female,2,Vigorous,2.62,15,LAOC,Urban,10000,Yes
30032622,1,47,Some College,Male,5,Vigorous,49.23,45,LAOC,Urban,20000,Yes
30032622,2,46,Graduate or Professional Degree,Female,4,Vigorous,14.54,25,LAOC,Urban,10000,No
30032658,1,53,High School Graduate,Male,0,Light,32.77,35,LAOC,Urban,4800,No
30032918,1,46,Bachelor Degree,Female,1,Light,12.07,20,LAOC,Urban,8000,No
30032959,1,69,Bachelor Degree,Male,2,Light,12.2,25,LAOC,Suburban,12500,No
30033698,1,62,Some College,Male,0,Light,14.12,30,LAOC,Suburban,12000,Yes
30033698,2,53,High School Graduate,Female,1,Light,14.12,35,LAOC,Suburban,15000,No
30034102,1,30,Bachelor Degree,Female,1,Light,6.04,20,LAOC,Urban,8000,No
30034446,1,30,Bachelor Degree,Female,4,Vigorous,19.53,45,LAOC,Urban,10000,No
30034446,2,29,Bachelor Degree,Male,5,Vigorous,10.18,20,LAOC,Urban,7000,No
30034660,2,52,Bachelor Degree,Male,0,Light,4.06,30,LAOC,Urban,6000,No
30034660,3,20,Some College,Male,10,Vigorous,4.25,30,LAOC,Urban,5000,No
30035359,1,49,Some College,Female,10,Vigorous,10.5,30,LAOC,Suburban,12000,No
30035892,1,63,Some College,Male,1,Light,32.7,45,IE,Suburban,12000,No
30037460,1,49,Graduate or Professional Degree,Female,2,Light,17.57,90,LAOC,Urban,15000,No
30037588,1,52,High School Graduate,Female,3,Light,6.33,15,IE,Suburban,5500,No
30038870,1,35,Bachelor Degree,Male,0,Vigorous,11.85,25,LAOC,Suburban,20000,No
30038870,2,38,Bachelor Degree,Female,3,Vigorous,20.64,30,LAOC,Suburban,10000,No
30041894,2,71,High School Graduate,Female,1,None,12.59,15,IE,Urban,8000,No
30042216,2,43,Bachelor Degree,Male,0,Vigorous,9.46,15,LAOC,Urban,7200,Yes
30043192,1,44,Less than High School,Male,0,None,1.78,15,IE,Small Town/Rural,7000,No
30046286,2,29,Bachelor Degree,Female,5,Vigorous,9.89,40,LAOC,Urban,10000,No
30048301,1,30,Graduate or Professional Degree,Female,5,Vigorous,37.34,60,LAOC,Urban,27000,No
30048301,2,30,Graduate or Professional Degree,Male,5,Vigorous,25.51,30,LAOC,Urban,15000,No
30048407,2,31,Bachelor Degree,Female,4,Vigorous,4.82,20,IE,Suburban,10000,No
30049583,1,59,Graduate or Professional Degree,Male,0,Light,23.36,45,LAOC,Suburban,20000,No
30049583,2,57,Graduate or Professional Degree,Female,0,Light,28.78,30,LAOC,Suburban,15000,No
30051220,3,46,High School Graduate,Male,0,Light,24.35,30,IE,Urban,18000,No
30051559,1,36,Graduate or Professional Degree,Female,15,None,19.25,45,LAOC,Suburban,10000,No
30052468,1,59,Graduate or Professional Degree,Female,0,Light,7.41,30,IE,Urban,1500,No
30052655,1,33,Graduate or Professional Degree,Male,5,Vigorous,23.82,60,LAOC,Urban,20000,No
30052957,2,69,Graduate or Professional Degree,Female,2,Light,1.45,5,LAOC,Suburban,3000,No
30056667,1,35,Less than High School,Male,0,Light,1.63,10,LAOC,Urban,4000,No
30057238,1,42,Bachelor Degree,Female,15,Light,9.51,25,LAOC,Suburban,8000,No
30059518,1,57,Bachelor Degree,Female,1,Light,12.27,25,IE,Urban,6000,No
30060310,2,46,Bachelor Degree,Male,3,Light,30.69,60,LAOC,Small Town/Rural,50000,No
30060310,4,19,Some College,Female,0,Vigorous,53.34,60,LAOC,Small Town/Rural,7000,No
30061397,1,71,Graduate or Professional Degree,Male,0,Light,20.58,60,LAOC,Suburban,17000,No
30061502,3,22,Graduate or Professional Degree,Male,3,Vigorous,17.21,55,LAOC,Suburban,10000,No
30061502,4,60,Bachelor Degree,Male,3,None,3.21,10,LAOC,Suburban,12000,No
30063611,1,42,High School Graduate,Male,0,Light,11.09,30,LAOC,Urban,10000,No
30063673,2,76,Graduate or Professional Degree,Male,2,Vigorous,18.61,60,LAOC,Small Town/Rural,15000,No
30064251,1,50,High School Graduate,Male,0,Vigorous,28.17,30,IE,Small Town/Rural,15000,No
30065784,2,62,Graduate or Professional Degree,Female,4,Vigorous,13.96,20,IE,Suburban,14000,No
30066125,2,65,Graduate or Professional Degree,Female,2,Light,13.86,30,LAOC,Urban,3600,No
30066125,3,26,High School Graduate,Female,5,Light,2.45,10,LAOC,Urban,5000,No
30066373,1,50,Graduate or Professional Degree,Female,2,Vigorous,15.34,55,LAOC,Urban,7000,No
30066373,2,52,Bachelor Degree,Male,3,Vigorous,5,20,LAOC,Urban,10000,Yes
30066613,1,41,Some College,Male,2,Vigorous,53.91,55,LAOC,Urban,24000,No
30066821,1,52,Graduate or Professional Degree,Female,4,Vigorous,12.54,45,LAOC,Suburban,10000,No
30066969,3,21,Some College,Female,2,Light,10.04,25,LAOC,Urban,3000,No
30067206,1,42,Graduate or Professional Degree,Male,5,Vigorous,1.87,10,LAOC,Urban,5000,No
30067206,2,41,Graduate or Professional Degree,Female,10,Light,14.23,20,LAOC,Urban,8000,No
30068323,1,53,Bachelor Degree,Female,3,Light,9.21,20,LAOC,Urban,8370,No
30069022,1,68,Bachelor Degree,Female,3,Light,16.19,25,LAOC,Urban,10000,No
30069655,1,52,High School Graduate,Female,5,None,6.08,15,IE,Urban,3000,No
30070370,1,62,Graduate or Professional Degree,Female,0,Light,11.57,50,LAOC,Urban,25000,No
30071591,1,40,Bachelor Degree,Male,10,Light,8.67,20,LAOC,Urban,20000,No
30071834,1,44,Some College,Female,5,Light,29.99,45,LAOC,Urban,20000,No
30071834,2,45,Less than High School,Male,0,Light,10.97,30,LAOC,Urban,100000,No
30072980,2,44,Bachelor Degree,Male,2,Light,4.26,10,IE,Urban,5000,No
30073870,2,58,High School Graduate,Female,0,Light,19.93,35,IE,Suburban,10000,No
30076279,2,50,Bachelor Degree,Female,10,Light,5.61,25,LAOC,Urban,12000,No
30076506,1,53,Bachelor Degree,Male,2,Light,11.69,30,LAOC,Suburban,12000,No
30076506,2,56,Graduate or Professional Degree,Female,3,Light,6.27,20,LAOC,Suburban,12000,Yes
30076629,1,30,Some College,Female,1,Light,0.46,5,IE,Suburban,7500,No
30076629,2,34,Some College,Female,0,None,5.89,20,IE,Suburban,6300,No
30077908,1,57,Some College,Female,0,Light,3.23,20,LAOC,Suburban,6000,No
30078586,1,49,Bachelor Degree,Female,4,Light,1.39,5,LAOC,Urban,12000,No
30078586,2,51,Some College,Male,1,Light,44.92,80,LAOC,Urban,25000,Yes
30078586,3,18,High School Graduate,Male,0,Vigorous,6.91,15,LAOC,Urban,3000,No
30078880,2,57,Some College,Male,0,Light,11.48,20,LAOC,Urban,21000,No
30080138,2,22,Bachelor Degree,Male,3,Light,8.84,30,LAOC,Urban,8000,No
30080140,1,43,Bachelor Degree,Female,5,Vigorous,15.66,25,LAOC,Urban,12000,No
30081608,1,64,Bachelor Degree,Male,3,Light,17.95,25,LAOC,Suburban,8500,No
30081815,2,61,Some College,Male,1,Light,23.59,60,LAOC,Suburban,2300,No
30082317,1,50,Some College,Male,10,Vigorous,46.67,60,IE,Suburban,20000,No
30083606,1,53,Graduate or Professional Degree,Male,0,Light,2.93,15,LAOC,Urban,10000,No
30084203,1,36,Graduate or Professional Degree,Female,4,Light,11.82,40,IE,Urban,12000,Yes
30084203,2,37,Some College,Male,0,Light,11.82,20,IE,Urban,12000,No
30085115,2,61,Bachelor Degree,Male,0,Light,8.76,20,IE,Suburban,13000,No
30085235,1,36,Bachelor Degree,Male,5,Vigorous,87.2,90,IE,Small Town/Rural,26000,No
30086349,1,55,Some College,Male,5,Light,38.56,45,IE,Urban,28500,No
30088074,2,63,High School Graduate,Male,5,None,2.16,10,LAOC,Urban,10000,No
30089483,1,58,Bachelor Degree,Female,1,Light,35.19,55,LAOC,Suburban,10000,Yes
30089911,1,38,Some College,Female,5,Light,2.47,10,LAOC,Urban,2000,No
30089978,1,32,Bachelor Degree,Male,0,Light,5.3,30,LAOC,Urban,6000,Yes
30091243,2,57,Some College,Female,2,Light,8.28,15,IE,Suburban,7500,No
30091849,1,55,Some College,Female,10,Light,46.5,45,IE,Suburban,10000,No
30091922,1,42,Graduate or Professional Degree,Male,3,Vigorous,10.3,20,LAOC,Suburban,20000,No
30091922,2,28,Bachelor Degree,Female,5,Vigorous,19.2,50,LAOC,Suburban,10000,No
30092446,1,35,Bachelor Degree,Male,2,Light,16.6,25,LAOC,Suburban,15000,No
30092446,2,35,Some College,Female,3,Vigorous,13.7,30,LAOC,Suburban,13000,No
30092619,1,35,Bachelor Degree,Female,0,Vigorous,24.12,45,LAOC,Urban,11000,No
30094044,1,47,Some College,Female,1,Light,28.04,90,LAOC,Urban,1500,No
30094861,1,63,Some College,Male,5,Light,2.1,10,IE,Urban,10000,No
30094866,1,26,Graduate or Professional Degree,Male,20,Vigorous,39,45,LAOC,Urban,20000,No
30096031,1,51,Graduate or Professional Degree,Male,0,Light,44.99,75,LAOC,Suburban,15000,No
30096031,3,25,Bachelor Degree,Female,0,Vigorous,19.43,50,LAOC,Suburban,5000,No
30096031,4,24,Bachelor Degree,Female,0,Light,5.73,30,LAOC,Suburban,10000,No
30096031,5,20,High School Graduate,Female,0,Vigorous,5.73,45,LAOC,Suburban,5000,No
30096198,1,45,Bachelor Degree,Female,10,Light,14.9,25,LAOC,Suburban,9000,No
30097550,2,86,Bachelor Degree,Male,0,Light,4.27,45,LAOC,Suburban,5000,No
30100588,1,34,Graduate or Professional Degree,Female,5,Light,1.84,15,LAOC,Urban,5000,No
30100588,2,23,Bachelor Degree,Female,3,Vigorous,2.21,15,LAOC,Urban,7000,No
30100655,2,64,Some College,Female,1,Light,2.77,15,LAOC,Suburban,5000,No
30105314,1,78,Bachelor Degree,Male,0,Light,50.82,60,LAOC,Suburban,30000,No
30105500,1,49,Graduate or Professional Degree,Female,0,Light,8.66,20,LAOC,Urban,15000,No
30105643,1,31,Some College,Female,15,None,3.6,15,LAOC,Urban,5000,No
30105643,2,32,High School Graduate,Male,5,Light,6.05,25,LAOC,Urban,5000,No
30108725,1,39,Some College,Female,3,Light,82.23,210,IE,Suburban,44200,No
30110052,2,35,Graduate or Professional Degree,Male,5,Light,15.71,25,IE,Urban,10000,No
30110341,1,64,Bachelor Degree,Male,3,Light,24.61,40,LAOC,Urban,12000,No
30112132,1,31,Graduate or Professional Degree,Female,1,None,13.03,60,LAOC,Urban,10000,No
30112132,2,31,Some College,Male,0,None,17.17,60,LAOC,Urban,15000,No
30112959,2,31,Graduate or Professional Degree,Female,1,Vigorous,11.83,15,IE,Suburban,12000,No
30114361,2,63,Bachelor Degree,Female,1,Light,16.99,30,LAOC,Urban,6000,No
30115667,1,42,Graduate or Professional Degree,Male,5,Vigorous,7.56,20,LAOC,Urban,7000,No
30115667,2,44,Bachelor Degree,Female,2,Vigorous,41.21,65,LAOC,Urban,16000,No
30116277,1,52,Some College,Female,1,None,16.81,20,LAOC,Urban,15000,Yes
30116277,2,46,Graduate or Professional Degree,Male,2,Vigorous,12.28,30,LAOC,Urban,20000,No
30116811,2,30,High School Graduate,Male,0,Light,37.5,30,LAOC,Urban,14000,No
30118100,2,66,Bachelor Degree,Male,3,Light,38.34,40,LAOC,Suburban,15000,Yes
30119236,2,59,Bachelor Degree,Female,0,Vigorous,1.34,10,LAOC,Urban,1510,No
30120216,1,45,Graduate or Professional Degree,Female,2,Vigorous,3.36,20,LAOC,Urban,3000,Yes
30121445,1,53,Graduate or Professional Degree,Female,3,Light,5.09,15,IE,Small Town/Rural,5000,No
30121445,2,54,High School Graduate,Male,1,Vigorous,18.03,30,IE,Small Town/Rural,8000,No
30122331,1,61,High School Graduate,Female,1,Light,1.04,5,IE,Urban,1000,No
30122331,2,66,High School Graduate,Male,4,Light,1.04,5,IE,Urban,1000,No
30122823,1,34,Bachelor Degree,Male,4,None,20.06,60,LAOC,Urban,30000,No
30122823,2,34,Some College,Female,3,None,17.6,45,LAOC,Urban,12000,No
30122823,3,64,High School Graduate,Female,3,None,10.46,50,LAOC,Urban,5000,No
30123967,2,48,Bachelor Degree,Male,3,Vigorous,2.21,15,LAOC,Urban,4500,No
30124013,1,27,Bachelor Degree,Male,1,Light,4.3,15,LAOC,Urban,8000,No
30125712,2,44,Graduate or Professional Degree,Female,2,Vigorous,24.86,35,LAOC,Urban,15000,No
30126162,1,26,Some College,Male,4,Light,15.75,40,LAOC,Urban,17000,No
30126818,1,66,Graduate or Professional Degree,Male,4,Vigorous,15.56,30,IE,Urban,20000,No
30127998,1,71,Graduate or Professional Degree,Male,10,Vigorous,52.1,75,LAOC,Suburban,20000,No
30128431,1,43,Some College,Male,4,Light,65.36,70,IE,Urban,85000,No
30129094,1,45,Bachelor Degree,Female,4,None,7.64,30,LAOC,Urban,10000,No
30129123,1,42,Some College,Male,4,Light,13.2,35,LAOC,Urban,13000,No
30129445,1,42,Less than High School,Male,1,Light,20.4,15,LAOC,Urban,15000,No
30129445,3,19,High School Graduate,Male,3,Vigorous,1.91,5,LAOC,Urban,2400,No
30130358,1,61,Graduate or Professional Degree,Female,0,Light,10.5,20,LAOC,Urban,20000,No
30130358,3,21,High School Graduate,Female,0,None,2.83,10,LAOC,Urban,10000,No
30130515,1,69,Some College,Female,4,Light,55.94,75,LAOC,Urban,45000,No
30130850,1,84,Graduate or Professional Degree,Male,1,Light,3.69,20,LAOC,Urban,8000,No
30131865,2,73,Bachelor Degree,Female,0,Light,7.7,20,LAOC,Suburban,1500,No
30131866,1,69,Some College,Male,0,Vigorous,58.48,140,IE,Small Town/Rural,50000,No
30132764,2,61,Bachelor Degree,Female,0,Vigorous,8.96,25,LAOC,Urban,5000,Yes
30132936,1,50,Graduate or Professional Degree,Female,15,Vigorous,7,20,LAOC,Suburban,10000,No
30133082,1,60,Graduate or Professional Degree,Female,0,Vigorous,31.23,40,IE,Suburban,20000,No
30133082,2,57,Graduate or Professional Degree,Male,4,Vigorous,3.23,10,IE,Suburban,15000,No
30133215,1,66,Some College,Female,2,Light,9.02,20,LAOC,Suburban,8000,No
30133874,1,33,Graduate or Professional Degree,Female,15,None,10.08,15,LAOC,Suburban,12000,No
30133874,2,34,Bachelor Degree,Male,5,Light,5.61,15,LAOC,Suburban,12000,No
30135091,1,48,Graduate or Professional Degree,Male,2,Light,19.11,40,LAOC,Urban,12000,No
30135091,2,46,Graduate or Professional Degree,Female,4,Light,1.61,10,LAOC,Urban,11000,No
30135382,1,57,Bachelor Degree,Female,0,Light,7.72,15,LAOC,Suburban,3600,No
30135653,1,30,Graduate or Professional Degree,Female,3,Vigorous,24.16,50,LAOC,Urban,15000,Yes
30137591,1,35,Graduate or Professional Degree,Male,5,Light,23.16,60,LAOC,Urban,12000,No
30137591,2,47,Graduate or Professional Degree,Female,1,Light,23.16,60,LAOC,Urban,12000,No
30137603,2,56,Less than High School,Male,0,Light,12.68,15,IE,Urban,5000,No
30137603,4,40,Less than High School,Male,5,Light,1.64,10,IE,Urban,5000,No
30140116,1,45,Some College,Male,0,Light,11.1,20,IE,Urban,30000,No
30140116,2,40,Bachelor Degree,Female,0,Light,6.41,20,IE,Urban,22000,No
30140145,1,47,Bachelor Degree,Female,2,Vigorous,5.35,15,LAOC,Suburban,7000,No
30140145,3,20,Some College,Male,2,None,37.4,60,LAOC,Suburban,4800,No
30140610,1,46,Graduate or Professional Degree,Female,5,Light,16.94,45,LAOC,Urban,20000,No
30140610,2,60,Graduate or Professional Degree,Female,3,Light,12.17,30,LAOC,Urban,25000,No
30140851,1,55,Bachelor Degree,Male,10,Light,29.67,45,LAOC,Suburban,12000,No
30144178,1,47,Graduate or Professional Degree,Male,0,Vigorous,12.8,25,LAOC,Urban,12000,No
30146608,1,58,Bachelor Degree,Male,4,Vigorous,19.3,25,LAOC,Urban,7500,No
30146608,2,50,Graduate or Professional Degree,Female,5,Light,11.02,25,LAOC,Urban,7500,No
30147457,1,49,Bachelor Degree,Female,5,Light,12.78,25,LAOC,Urban,11000,No
30148119,1,32,Some College,Female,5,Light,9.19,40,LAOC,Urban,7000,No
30148119,2,34,Bachelor Degree,Male,10,Light,15.26,30,LAOC,Urban,12000,Yes
30148241,1,41,Bachelor Degree,Male,10,Light,15.5,55,LAOC,Urban,2000,No
30149390,1,55,Some College,Male,1,Light,5.79,20,LAOC,Suburban,20000,No
30149398,1,57,Bachelor Degree,Male,3,Light,47.32,90,LAOC,Urban,38000,No
30150415,1,54,Some College,Female,2,Light,5.59,15,LAOC,Suburban,17000,No
30150415,3,27,Bachelor Degree,Female,2,Light,7.1,25,LAOC,Suburban,13000,No
30150779,1,62,Less than High School,Female,1,Light,4.73,15,LAOC,Urban,10000,No
30150779,2,69,High School Graduate,Male,0,Light,9.57,20,LAOC,Urban,12795,No
30150826,1,65,Bachelor Degree,Female,10,Light,2.21,15,IE,Small Town/Rural,8000,No
30151212,1,42,Graduate or Professional Degree,Female,2,Light,11.99,20,LAOC,Urban,1000,No
30151514,1,47,Some College,Female,2,Light,1.83,10,IE,Suburban,2000,No
30151514,2,47,Some College,Male,0,Light,64.11,90,IE,Suburban,12000,No
30151777,1,51,Some College,Female,5,Light,8.51,20,LAOC,Suburban,10000,No
30153692,1,55,Graduate or Professional Degree,Female,2,Vigorous,14.82,25,LAOC,Urban,10000,No
30154053,1,62,Bachelor Degree,Female,1,Light,7.08,20,IE,Urban,1100,No
30154177,1,67,Bachelor Degree,Male,3,Light,18.74,40,LAOC,Urban,20000,No
30156902,1,46,Some College,Female,10,Light,12.93,40,LAOC,Urban,15000,No
30156902,2,45,Some College,Male,3,Light,8.73,20,LAOC,Urban,30000,No
30157290,2,58,Bachelor Degree,Female,0,Light,7.47,15,LAOC,Urban,3900,No
30157290,3,27,Some College,Male,1,Vigorous,23.49,40,LAOC,Urban,12000,No
30158419,2,66,Some College,Male,0,Vigorous,4.98,15,LAOC,Suburban,7000,No
30159146,3,35,Less than High School,Male,1,Vigorous,15.61,35,LAOC,Urban,15000,No
30159617,1,60,Graduate or Professional Degree,Female,5,Light,3.17,10,IE,Suburban,10000,No
30159617,2,63,Bachelor Degree,Male,10,Light,9.39,20,IE,Suburban,15000,No
30161270,1,61,Graduate or Professional Degree,Female,5,Light,19.03,45,LAOC,Suburban,10000,No
30161511,2,26,Bachelor Degree,Male,1,Vigorous,28.96,30,LAOC,Small Town/Rural,20000,No
30162329,2,37,Graduate or Professional Degree,Male,0,Light,21.14,45,LAOC,Urban,20000,No
30163951,1,44,Graduate or Professional Degree,Male,5,Light,3.07,15,LAOC,Urban,7000,Yes
30166811,1,64,Some College,Female,2,Light,0.67,10,LAOC,Urban,11000,No
30167043,1,73,Graduate or Professional Degree,Female,0,Light,3.47,10,IE,Suburban,7000,No
30167615,2,23,Bachelor Degree,Female,0,Light,16.11,30,LAOC,Suburban,15000,No
30169106,1,47,Graduate or Professional Degree,Male,5,Light,2.42,10,LAOC,Suburban,6000,No
30169106,2,47,Bachelor Degree,Female,5,Light,8.67,25,LAOC,Suburban,8000,No
30169263,2,47,High School Graduate,Male,0,None,7.47,20,LAOC,Urban,5000,No
30169937,2,44,Bachelor Degree,Female,2,None,3.19,10,LAOC,Suburban,4000,No
30170501,1,35,Graduate or Professional Degree,Female,5,Vigorous,12.42,20,LAOC,Urban,12000,No
30170855,1,46,Some College,Female,5,Vigorous,11.36,35,LAOC,Urban,12000,No
30170855,3,22,Some College,Male,5,Light,1.61,5,LAOC,Urban,1000,No
30171124,1,40,Bachelor Degree,Female,15,Light,19.04,40,LAOC,Urban,17000,No
30171334,2,37,Some College,Female,0,Vigorous,17.56,35,LAOC,Urban,12500,No
30171357,1,47,High School Graduate,Male,2,Vigorous,5.85,20,IE,Suburban,30000,No
30171357,2,22,High School Graduate,Male,0,Light,9.7,20,IE,Suburban,15000,No
30171357,3,49,High School Graduate,Female,0,Light,9.02,20,IE,Suburban,10000,No
30171357,4,20,High School Graduate,Female,2,Vigorous,15.14,20,IE,Suburban,5000,No
30171514,1,66,Some College,Female,1,Light,3.85,15,IE,Small Town/Rural,2400,No
30172112,1,27,Bachelor Degree,Female,15,Vigorous,7.12,20,LAOC,Urban,11000,No
30172475,1,47,Bachelor Degree,Female,1,Light,15.2,25,LAOC,Urban,7000,No
30174001,2,47,Bachelor Degree,Male,0,Light,10.58,30,LAOC,Urban,20000,No
30175159,1,45,Bachelor Degree,Female,5,Vigorous,2.14,10,LAOC,Urban,12000,No
30175753,2,58,Bachelor Degree,Female,2,Light,2.82,10,LAOC,Urban,7000,No
30176102,2,44,Bachelor Degree,Male,1,Vigorous,17.94,25,LAOC,Urban,25000,No
30177327,1,36,Graduate or Professional Degree,Female,10,Vigorous,6.6,15,LAOC,Suburban,15000,No
30179949,1,50,Bachelor Degree,Female,1,Vigorous,7.95,30,LAOC,Suburban,16000,Yes
30180763,1,36,Some College,Female,4,Light,14.64,35,IE,Suburban,15000,No
30180763,2,45,High School Graduate,Male,0,Vigorous,5.93,15,IE,Suburban,18000,No
30181084,1,62,Some College,Male,0,Light,5.85,30,LAOC,Urban,7000,No
30181778,1,63,Some College,Male,2,Vigorous,27.35,40,IE,Urban,80000,No
30181778,2,44,Some College,Female,0,Light,15.54,20,IE,Urban,7000,No
30182641,1,52,Graduate or Professional Degree,Female,5,Light,3.18,10,LAOC,Urban,7000,No
30182669,3,32,Bachelor Degree,Female,2,Light,3.21,20,LAOC,Urban,4500,No
30183310,1,32,Some College,Male,4,Vigorous,176,180,IE,Suburban,15000,No
30183310,4,28,Bachelor Degree,Male,1,Light,8.63,30,IE,Suburban,10000,No
30184754,1,51,Graduate or Professional Degree,Male,0,Light,4.58,20,LAOC,Urban,15000,No
30184942,2,57,Some College,Female,2,Light,36.3,60,IE,Small Town/Rural,30000,No
30184951,1,40,Some College,Female,0,Light,17.1,30,LAOC,Urban,10000,No
30185209,1,68,Bachelor Degree,Male,5,None,9.14,15,LAOC,Urban,6000,No
30185209,2,72,Some College,Female,3,Light,2.48,15,LAOC,Urban,5000,No
30185580,1,63,Bachelor Degree,Male,2,None,21.88,40,LAOC,Urban,23000,No
30190294,1,48,Some College,Male,2,Light,8.53,40,LAOC,Urban,20000,No
30190861,1,62,Less than High School,Female,4,Light,10.31,20,LAOC,Urban,5500,No
30191280,1,25,Bachelor Degree,Female,20,Light,11.56,20,LAOC,Urban,4000,No
30191418,1,63,High School Graduate,Female,0,Light,9.51,45,LAOC,Urban,18000,No
30192173,1,52,Some College,Female,2,Light,5.37,20,LAOC,Urban,10000,No
30194004,2,48,Bachelor Degree,Female,20,Vigorous,13.01,40,LAOC,Small Town/Rural,12000,No
30194037,2,26,Bachelor Degree,Female,1,None,30.7,45,LAOC,Urban,12000,No
30194205,1,60,Some College,Male,0,Light,28.11,70,IE,Suburban,10000,No
30194843,1,65,Some College,Male,1,Light,17.5,20,LAOC,Urban,12000,No
30194843,4,31,Some College,Female,5,Light,23.53,40,LAOC,Urban,10000,No
30196370,2,50,High School Graduate,Male,5,Light,19.41,30,LAOC,Urban,30000,Yes
30196999,2,48,Bachelor Degree,Male,0,Vigorous,38.04,45,LAOC,Urban,50000,No
30198126,1,29,Graduate or Professional Degree,Male,2,Light,4.03,15,LAOC,Urban,5000,No
30198521,1,35,Some College,Male,4,Light,9.45,20,LAOC,Suburban,20000,No
